rowid,stationid,city,chinese,latitude,longitude,pm25,pm10,o3,no2 ,so2,co,useless1,useless2,useless3,useless4,useless5,useless6,time
137596,498,Tianjin,Î_©_Ç«,39.085164,117.207281,221,170,20,38,23,12,14,8,1016,67,7,2.01E+13,1396206000
138067,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,80,42,28,7,5,6,14,12,1013,88,7,2.01E+13,1396216800
138120,36,Beijing,Îë„__å,39.955906,116.474246,230,139,11,43,18,7,15,4,1017,48,2,2.01E+13,1396227600
138132,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,152,57,42,26,8,7,12,8,1016,78,1,2.01E+13,1396227600
138511,498,Tianjin,Î_©_Ç«,39.085164,117.207281,233,155,10,33,35,13,21,6,1017,38,11,2.01E+13,1396234800
138982,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,117,55,8,26,10,10,14,13,1015,94,2,2.01E+13,1396245600
139035,36,Beijing,Îë„__å,39.955906,116.474246,188,158,22,33,31,6,23,1,1013,23,7,2.01E+13,1396256400
139047,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,149,50,41,28,7,6,14,9,1012,73,5,2.01E+13,1396256400
139427,498,Tianjin,Î_©_Ç«,39.085164,117.207281,346,0,38,22,17,13,17,8,1014,55,13,2.01E+13,1396263600
139898,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,104,40,5,17,9,9,14,13,1017,94,2,2.01E+13,1396274400
139950,36,Beijing,Îë„__å,39.955906,116.474246,209,102,27,40,6,5,12,7,1015,72,2,2.01E+13,1396285200
139962,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,139,48,39,22,6,5,12,11,1014,88,2,2.01E+13,1396285200
140342,498,Tianjin,Î_©_Ç«,39.085164,117.207281,256,0,14,42,17,20,12,7,1015,72,7,2.01E+13,1396292400
140813,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,78,30,34,12,4,13,14,13,1015,94,4,2.01E+13,1396303200
140865,36,Beijing,Îë„__å,39.955906,116.474246,270,114,5,30,7,6,11,9,1015,88,4,2.01E+13,1396314000
140877,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,156,60,31,21,7,6,13,11,1014,91,4,2.01E+13,1396314000
141257,498,Tianjin,Î_©_Ç«,39.085164,117.207281,300,122,12,29,39,20,19,8,1014,49,9,2.01E+13,1396321200
141728,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,78,32,8,23,8,8,14,13,1017,94,4,2.01E+13,1396332000
141781,36,Beijing,Îë„__å,39.955906,116.474246,185,79,8,38,24,6,20,2,1013,30,2,2.01E+13,1396342800
141793,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,109,51,30,22,6,6,18,12,1014,68,3,2.01E+13,1396342800
142173,498,Tianjin,Î_©_Ç«,39.085164,117.207281,0,11,49,12,10,,24,2,1009,24,7,2.01E+13,1396350000
142643,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,119,63,4,29,11,9,13,12,1013,94,0,2.01E+13,1396360800
142696,36,Beijing,Îë„__å,39.955906,116.474246,171,99,47,31,17,6,15,3,1010,45,2,2.01E+13,1396371600
142708,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,119,55,37,40,6,6,13,9,1014,81,1,2.01E+13,1396371600
143088,498,Tianjin,Î_©_Ç«,39.085164,117.207281,206,0,23,22,16,10,17,5,1011,45,7,2.01E+13,1396378800
143559,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,127,52,1,22,9,13,13,12,1012,94,2,2.01E+13,1396389600
143612,36,Beijing,Îë„__å,39.955906,116.474246,210,144,13,50,14,5,15,5,1013,51,4,2.01E+13,1396400400
143624,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,144,54,22,26,4,5,13,12,1015,95,5,2.01E+13,1396400400
144004,498,Tianjin,Î_©_Ç«,39.085164,117.207281,193,105,16,27,28,9,19,4,1014,37,2,2.01E+13,1396407600
144475,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,107,41,6,17,30,11,17,13,1014,77,7,2.01E+13,1396418400
144528,36,Beijing,Îë„__å,39.955906,116.474246,167,95,41,14,16,5,21,-1,1015,23,16,2.01E+13,1396429200
144540,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,87,45,33,16,6,5,18,13,1013,72,2,2.01E+13,1396429200
